"Topic","Date","Text","Keywords","Probability"
1,"1861-06-13","13 июня. Вторник. Утром сегодня пришел нанимать квартиру Модзелевский. Он у нас учил словесности, а теперь поступил в Смольное учителем. Он нанял квартиру за 25 рублей серебром в месяц и дал задатку 5 рублей. На второй машине приехал из Царского села папа. Привез послания дяденьки Михайло Ивановича маме, Каташеньке, Маше и Соне, состоящие из старых изношенных ридикулей и изломанной бронзовой булавки. Это все вещи, оставшиеся после Дарьи Николаевны. Вместе с тем папа объявил, что мы можем ехать в Грузино потому, что он отдал в Царском селе квартиру за 30 рублей Эйхвальду, профессору Медико-Хирургической академии. Это очень хорошо. Я старался забыть Грузино, а вот теперь ничего, можно вспомнить. Если б я выздоровел к Четвергу то, когда акт будет. То-то бы я рад был. Папа в Царском селе ловил рыбу и в два раза поймал восемь штук больших рыб. В Троицу он обедал у Леонтьевой. Сегодня хотел ехать на двухчасовой машине, но когда услышал, что к ним, к обеду хотела быть Марья Павловна, с Настасьей Петровной конечно, то поторопился и приехал на второй машине в четверть двенадцатого часа. Сегодня весь день пасмурный. Тучи заволокли небо так густо, что солнышко никуда не может проникнуть. В воздухе холодно, но как видно не ветрено потому, что деревья стоят ровно и ни один их лист не шелохнется. Реомюр показывает всего только 10° тепла. Вот то июньские жары. Сейчас пришла сюда кружевница старушка. Мама говорит, что мы поедем в Грузино раньше Иванова дня, т.е. 24 июня. Должно быть также как и прошедший год 8 июля. Мама говорит, что я и не думал 15 июля ездить к Леонтьевым. Нечего, мол, денег то тратить Это в некоторой степени худо потому что я им обещался приехать к именинам Володеньки. А мне бы хотелось сдержать свое слово тем более, что они бы может быть мне подарили что-нибудь. Прошедший то год я ничего не получил единственно потому, что не ездил к ним.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.996604798551381
1,"1861-06-10","10 июня. Суббота. В Петербурге. 6 Июня во Вторник на второй машине я воротился из Царского села. С самого утра была пасмурная погода. Несмотря на это я отправился во дворцовый сад, чтобы нарвать сирени. Все прошло благополучно и я возвратился домой с большим букетом сирени. Со мной вместе поехала Варавара Васильевна жена здешнего купца 3й гильдии по фамилии Цуцанова. Домой в Петербурге я пришел в первом часу, когда самовар был еще на столе и с удовольствием напился своего домашнего кофе. Был потом у Рибо. Взял ножик перочинный, оставленный мною у Альшевского. К папе приехал из Костино Иванов Василий Иванович. С ним вчера в пятом часу вечера мы ходили ловить рыбу на баржу Громова. Сначала я ловил с бревен, накиданных в воду и связанных между собою цепями, но так как тут не клевало, то я перешел в лодку и здесь было то же самое. Тогда я пришел к папе на пароход и тут поймал я один штук 10. Всех рыб было 46. Из них было сегодня сделано жаркое с горчицей и уксусом. Иванов ночевал у нас 2 ночи и сегодня уехал в Колпино. На днях мы получили письмо из Грузино. Котя пишет, что он научился грести веслом и с утра до ночи катается по прудам в саду, завет меня туда. Давно бы уж я был там, да нельзя. Квартира в Царском селе не отдана и если не отдастся так мы и совсем не поедем в Грузино. А мне бы очень хотелось и маме тоже. Завтра Троица, а я остался дома и не пошел на всенощную. Ячмень сел мне на глаз. Сегодня мы ждем Котю. Он хотел приехать сюда к Троице, если мы не приедем в Грузино. На машине в 3 <U+00BD> часе поехал в Царское папа. Если б он отдал квартиру, как бы я был рад. Может быть тогда б поехали в Грузино. А как бы мне хотелось. То-то бы загулял и от Леонтьевых был бы далеко.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.99485949280329
1,"1861-07-26","26 июля. Среда. Вчера после завтрака я отправился ловить рыбу. Долго стояли мы на ванне и ничего не поймали. Вскоре пошел дождик и мы, желая от него скрыться, вошли в ванну. Тут Кронит Иванович прочел наизусть Полтаву Пушкина. По окончании дождика мы выкупались. Танцевали в воде tramblent, играли в пятнашки. Я уже начинаю немного плавать. Потом мы пошли на плот, куда пристает пароход. Там рыба тоже нисколько не клевала. Мы уже наскучились и под конец решились попробовать половить с барок. Котя лег в копне сена, а мы закинули удочки. Рыба начала беспрестанно браться. Только таскай и все густера большая. В короткое время у меня на веревке очутилось 50 штук. Вдруг у меня повело поплавок. Я весь впился в него глазами. Начало немножко его подергивать и вдруг он исчез под водою. Я подсек. Что-то тяжелое тащилось на крючке. Я все продолжал выше и выше поднимать удочку. Из воды показалась голова большой рыбы. Я осторожно вытащил его на барку, где Костя снял с крючка и насадил на веревку. Это был язь в <U+00BE> фунта. Первый раз в жизни я поймал такую рыбу. Вчера приезжал к нам дяденька Петр Николаевич. Сегодня все идет","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.991749174917492
1,"1861-09-16","16 сентября. Суббота. Вчера я отказался Миквицу от Математической Географии. Я думаю, что он поставил ноль. Впрочем не знаю наверно. Может быть и так сойдет с рук. Сегодня Котя снял с себя портрет за 1 рубль в сюрприз маме. Сегодня я гулял с Рибо в Таврическом. Он зовет меня в Понедельник в академию. Не знаю, отпустит ли мама.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.975728155339806
1,"1861-06-23","23 июня. Пятница. Я встал сегодня в 8 <U+00BC> часов. Весь день сидел дома, смотрел как плотники рубят бревна, землекопы роют. Потом мама пошли на Царскосельскую машину встречать Каташеньку с Машей. Мама с Каташенькой пошли в Гостиный двор, а Маша воротилась. Вечером я ходил покупать для Маши ноты. Завтра Папа именинник.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.971042471042471
1,"1861-11-10","10 ноября. Пятница. Сегодня я получил от Лебедева из Физической Географии 5. Да третьего дня от Буша 4. Сегодня самая скверная погода. Снег смешанный с дождем и холодный ветер мне прямо в лицо. Однако на записываться. Пора за дело.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.971042471042471
1,"1861-08-10","10 августа. Четверг. Петербург. Вчера я приехал в Петербург. Вчера я встал в 8 часов утра. Погода была превосходная. Я простился со всеми и сопровождаемый ими отправился на пароход. Долго мы ждали его. Наконец увидели и пошли на плот.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.964114832535885
1,"1860-11-25","25 ноября. Пятница. Третьего дня в девятом часу приехала Каташенька с Иваном Галактионовичем и детьми. Вчера собрались гости: Елизавета Алексеевна, Георгиевские все и дяденька. Ну конечно была суматоха. Легли в 3м часу. Однако пора делом заниматься.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.952830188679245
1,"1861-09-14","14 сентября. Четверг. Третьего дня к нам приехала Каташенька с Иваном Галактионовичем и детьми. Сегодня праздник Воздвижения креста Господня. Я был у обедни. День не худ, не хорошо. Дождь то идет, то перестанет. Небо пасмурно. Иван Галактионович уехал в Царское село, а оттуда в Павловск и, ночуя у Георгиевских завтра возвратится к нам. Папа купил на толкучем пальто коричневое и подарил мне. Совершенное крепкое, чистое и не ношенное. Мама говорят, что худо, но мне оно нравится. Теперь надо купить только партикулярную фуражку. Тогда ходи всюду, куда захочешь. Я к завтраму почти ничего не знаю. Боюсь. Да нечего много думать то об этом. Сойдет как-нибудь. Мне это ни в первый раз. Иной раз так решительно ничего не знал и то счастливо сходило. Котя заходил к нескольким фотографам узнавать насчет дагерротипных портретов, но все чрезвычайно дорого (по крайней мере для нас) просят, по 4 рубля серебром за полудюжину. Это слишком. Все мне Грузино вспоминается. Свешников сделан управляющим в имении Графа Путятина и не взял жалованья, которое ему предлагали. Котя вчера за всенощной с сегодня за обедней видел Егора Ивановича. Он живет на Надеждинской улице. Надо будет когда-нибудь сходить к Крониту Ивановичу. Он звал. А как бывало славно я в Грузине купался. Разбежишься да с плота бух в воду. Так тебя и окатит. И пойдешь там возиться. Я сам не заметил, как выучился плавать. Я уже теперь сажень 5 могу проплыть по течению. 1 фунт свинцу на пули у меня уже есть. А надо по крайней мере 6 фунтов. У нас теперь сидит Елизавета Алексеевна. Давненько таки она не была. С Июня месяца почти мы ее не видали.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.950388265746333
1,"1861-07-04","4 июля. Среда, Грузино.24 июня в Субботу были папины именины. Гостей было мало. Утром пришел Забек. Потом Петр Петрович, Настасья Петровна, Петр Николаевич, Николай Петрович. Они проиграли в карты всю ночь до 6 часов утра. Потом в понедельник 26 июня я ходил переменять ноты Маше потому, что не те взял и вместе с тем зашел к Глазунову спросить объяснения, почему в Саллюстии сделаны ссылки на замечания, которых совсем нет. Во Вторник 27 июня я уехал с Каташенькой в Грузино. Мы пришли в вокзал, когда было 12 часов 10” и машина отправлялась в 2 часа. Надо было взять билет на чемодан, который мы везли. Большую часть дороги шел дождь, но он прекратился, когда мы подъехали к Чудову. Мы начали искать лошадь, которую должен был прислать за нами Иван Галактионович, но ее не было и потому мы наняли ямщика за 1 рубль серебром. Выехали мы в 7 <U+00BD> часов, а приехали в 9. Иван Галактионович сказал, что он потому не присылал лошади, что не получал письма тогда, как я сам положил его в ящик в Субботу утром в десятом часу. В Среду 28 июня у нас обедал Аркадий Александрович Ефремов, главный управляющий.","мама, рыба, папа, снег, погода, рубль, небо, царский, чистый, село",0.924242424242424
