"","doc","text"
"1","1860-09-21","21 сентября. Среда 1860 года. Долго я не писал в этой тетради. Наконец и соскучился. Отчего же и не написать чего-нибудь? Сегодня у меня был самый несчастный день. Пришли только в гимназию сейчас же вызвал Стоюнин, но я ему такой благовидный предлог представил, что он ничего не ответил. Потому Буш. Тут уж не посчастливилось. Вы Чемезов сегодня не приготовили сказал. Ну я и сел. Все таки думаю единицы не поставит. А поставит а потом узнаю что я получил 1 <U+00BD> не много же больше единицы. Лишь бы не отметил в билете а то начнутся расспросы так они для меня хуже всего. За Бушем Лемониус. Я сказал, что я не был в Субботу. Он отвечал, что надеется, что я в следующий раз лучше отвечу. Завтра хочу просить у Стоюнина позволения книги брать из казенной библиотеки. Да даст ли еще? Скажет чтобы кто-нибудь поручился. А кто из наших поручится? Никто. Тогда я и останусь с носом. А хорошо б было если б достал книгу а то выучишь уроки и не знаешь что делать так только валандаешься. Да и притом я многих сочинителей и не читал. Недавно мне случилось прочесть Обломова соч. Гончарова. Отлично написано. Всего лучше сам Обломов. Читаешь и сам переносишься в те места. Чудно было тогда не то что теперь. Что такое теперь. Отовсюду гонят. Бедных умножают, а все под предлогом улучшения разных глупых. Досадно слушать. Прежде умей только писать так тысячи наживешь а теперь и рубля то никак не добудешь. А все от чего? От того что царской то фамилии все прибавляется. А что нам в ней толку. Каждому на содержание нужно по 100.000 да при самом рождении кладется 500.000. А чиновников бедных гонят. Тошно становится когда вспоминаешь об этом. Какой источник найдешь себе для пропитания? Никакого решительно никакого. Сунься теперь с просьбою куда-нибудь так тебя так турнут что рад будешь убраться то по добру да поздорову. Скучно бывает иногда так скучно что не знаешь, за что приняться. Хоть бы найти учеников. Да нажить деньги собственные своим трудом. Да где теперь найти? Нигде не найдешь. Разве будешь ходить по улицам да кричать не надо ли учителя? Так тогда чего доброго пожалуй в трубную посадят да и сиди там, кисни. Иногда так защемит сердце что плакать захочется и не с кем поделиться тоской. А сердце между тем все ноет да ноет еще заиграют какую-нибудь жальную этакую пьесу. Молиться захочется. Негде молиться. Везде ходят. А и я бы хотел молиться один чтобы излить Богу всю свою душу. Наконец я решился писать и с этих пор буду исполнять это каждый день и каждый день продолжать мои записки. Детство, детство! Зачем ты так скоро прошло не успел я на тебя и оглянуться. Сегодня от нас уехала Каташенька с детьми. Я отчасти и рад потому что когда она приезжает с детьми никогда не поспишь хорошенько, ни поешь, ни выучишься, ни отдохнешь. В прошедшую субботу были именины мамы и Сони. Господи! дай им всякого счастья и благоденствия. Счастья не земного но небесного. Много мама сделала для нас но мы отвечали им одною грубостью. Господи! дай случай доказать как я люблю маму. Однако на этом день довольно я уже что-то много заговорился."
"2","1860-09-23","23 сентября. Пятница. Кедров говорят назначен преподавателем к детям Константина Николаевича. Видно он известен стал если его так возвысили. Не всякому то так посчастливится. А он вероятно умная башка потому что ведь секретарь совета а туда не назначат какую-нибудь пигалицу вроде Оттена. А жалко будет если он от нас выйдет. Впрочем не думаю. Сегодня он меня вызывал и посадил за то что я не знал одного слова. Странный он человек. Иногда множество ему наврешь он ничего. Другой раз за одно слово раскричится: Немыслящая физиономия, говорит, я вам загвозжу и посадит. Он очень вспыльчив но отличный учитель. Только ругается страшно. Никто из учителей так не бранится как он. Игнатьев вышел в 8ю гимназию. Вот тоже странный человек. Никак не разберешь какой у него характер. Добр ли он, зол ли кто его знает. Пришли сказать что дядя умер — он засмеялся. А если у него попросишь никогда не откажет всегда даст. В классе хладнокровен как рыба. Ничто на него не производит впечатления только кончики пальцев нюхает. Странный человек да и только. Сегодня на меня напала какая-то лень. Вот право — придутся же такие дни когда не хочется учиться. Ведь кажется немаленький да и не дурак понимаешь что учитель вызовет и единицу поставит, а все таки лень берет верх и бросаешь книгу. Видно уд такая у меня проклятая натура. Ничем не могу я заниматься в особенности. Хотел заниматься сначала Латинским языком до отдумал. Теперь хочу Греческим, а еще и не начинал. Есть же такие счастливые люди которые умеют себя принудить. А я что? Ведь я такой же человек, а не могу. Значит силы воли нет. А хотелось бы мне заняться. Ну что я выйду из гимназии? Был в Филологической гимназии воспитывался 7 лет. Кажется должен бы был знать языки хорошо, а на самом деле ничего не знаю. Какая же польза была что я находился именно в филологической гимназии а не в какой другой? Решительно никакой. Это досадно. Желал бы я воротить прежние годы да уж поздно. Так будет и в старости. Раскаюсь я что не учился. Имел все способы к образованию и ничего не делал. Совесть будет тогда грызть мое сердце. Лучше исправиться поздно чем никогда. Начну-ка я заниматься Греческим и Латинским да и дело с концом. Тогда бы уже Кедров не посадил меня по сегодняшнему да и между товарищами был бы почет. Всякий бы просил: переведи мне то, переведи другое. Да вот в чем главное то препятствие. Воли нет да и терпенья на достанет. А лучше всего молиться Богу. Он поможет лучше всякой воли и терпенья. Папа вчера уехал в Грузино. И как нарочно пошли дожди. Прежде не было а теперь начались. Видно уж зима скоро наступит. Ветер сегодня такой был сильный что просто ужас. Я только как вышел за ворота так я удержал едва фуражку да шинель, как ветер дунул. Вот славно написал что иной и не поймет. Приберутся же слова такие что их никак не поймешь."
"3","1860-09-25","25 сентября. Воскресенье. Вчера у нас случилось замечательное происшествие. Только что я прихожу из гимназии как мне объявляют что нас обокрали. Признаться я испугался этого. Оказалось что украдены несколько пар юбок новых и три платка из которых два были совершенно новые голландские. Кража произведена утром часу в 10м со взломом замков. В это время в чердаке смежном с нашим, стирали белье чернорабочая и кухарка Таубе. Спрашивается кто же сделал это как не они? Никого больше не было. Мама сейчас отправились к Таубе. Его не было дома. Мама воротилась и узнав что он пришел домой послали Катерину. Он отвечал что он никогда не замечал своей кухарки в воровстве и даже не потрудился зайти к нас когда мама сами у него были. Что ж маме оставалось делать? Никто не знает как написать объявление о воровстве на какой гербовой бумаге, где она продается, в какую цену, решительно ничего. Дождались Костю послали его к письмоводителю узнать об форме объявления с благодарностью конечно. Тот же скотина отвечал что ему и своих дел много. Одним словом это был невежа, какой-нибудь отставной солдат, болван, который видя, что порядочный человек просит его, стал кобениться. Чистый урод. Досадно станет когда вспомнишь об этом. Наплевать бы ему в рожу а Костя ничего не сказал ему и ушел. Мама отправились на Петербургскую, ну там спасибо Николаю Александровичу. Он написал объявление и сегодня его отнесли к частному приставу. Не знаю, что то дальше будет. Досадно что папы нет дома. А то бы он задал и Таубе и письмоводителю невеже. Удивительно, что все подобные дела случаются в отсутствие папы. Ничего не выучив ко Вторнику я начал читать Пушкина, а потом лег спать. Так прошел целый день. Сегодня мы пошли к обедне и позавтракав отправились в академию. Сегодня, вообще в Воскресенье, Вторник и Пятницы пускают бесплатно а в прочие дни по гривеннику за вход. Не велика плата, но для нашего брата и это что-нибудь да значит. В академии много прекрасных картин. Как только войдешь в первую залу сейчас бросается в глаза огромная картина по всю противоположную стену. Это картина Брюллова. Она представляет осаду Пскова и рисована по программе Николая I в 1836 году. В целом мне кажется, она прекрасна правда, но не представляет ничего особенного, а если и разглядывать каждую группу в отдельности так превосходно исполнена. Тут изображено множество разных лиц и групп но лучше других мне показались только немногие. 1) На лево в нижнем углу картины изображен крестьянин умирающий вероятно от раны. Весь бледный он все еще мутными глазами смотрит на сражающихся. Его голову поддерживает девица дочь бледная как и ее умирающий отец. Это хорошо вместе. Потом 2) в том же краю, но только впереди умирающего бежит крестьянский мальчик лет 15 с копьем в руке. Все лицо его дышит отвагой. Глаза кажется хотят пронзить осаждающих. За ним спешит старуха мать и устремив глаза к небу призывает Христа Спасителя ему с помощники, благословляет его жесткою, иссохшею рукою. Это показалось мне лучше всего. У старухи, может был единственный сын но она и того не пожалела, и тем жертвует для того только, чтобы усилить Псковитян уже ослабевших от натиска неприятеля. Далее 3) старец священник сопровождаемый всем клиром с иконами, крестами и хоругвями идет на подкрепление верующих. В руках его находится меч, который он поднял вверх. Вот что мне в особенности понравилось в этой картине. Жаль, что она не окончена совсем и не покрыта лаком, который бы придал более свежести колерам красок. Подле этой картины недавно еще выставлена другая небольшого формата. Она изображает лицо Римлянки высунувшейся в окошко, одетое растениями. Чудо как живо нарисована. Издали точно живая. Я было право принял за живую если б не была в раме. Чудо как хорошо нарисовано. Я еще не думал чтобы можно было так рисовать. Я бы этому художнику отдал все золотые и серебряные медали. Насилу можно было к ней продраться, столько народу стояло перед ней. Но издали она кажется гораздо лучше и живее чем вблизи. Она прислана из Рима и срисована в 1859. На левом углу написано Lalla. Что уж это значит не могу объяснить. Может быть имя изображенной женщины. Жалко что я забыл фамилия художника. Какая-то немецкая вроде Rigtie, Roiste не помню хорошенько. А главная картина. Далее хороша также картина: умирающий в тюрьме Михаил Глинский Миллера. Первый опыт собственной композиции художника. Изображена небольшая тесная комната. На лево деревянная скамейка покрытая соломой, на которой сидел несчастный Глинский. Предсмертные муки, вероятно, терзали бедного старика потому, что он схватившись рукой за грудь держа в другой руке руку дочери, стоявшей подле него, умолял милосердного Творца о сохранении его дочери. Молодая девица с беспокойством смотрела на своего отца, считая минуты его жизни. Подле скамейки стоял кувшин. Еще хорошо исполнена картина Риццони. Жиды контрабандисты, за которую он получил вторую золотую медаль. Представлена комната. Прямо и направо коридоры темные и узкие, налево стол, на котором разложены золотые вещи. Два жида сидят за ним. Один из них приподняв золотую цепочку любуется на нее прищуря глаза. Посреди комнаты открыт люк из которого высунулась голова жида, складывающего туда товар в тюках в то время, когда другой подает их ему. В это время высунулась голова из левого коридора и кажется объявляет, что за ними наблюдают. Все жиды со страхом слушают известие, обратя глаза к жиду, высунувшемуся из коридора. Еще хороша картина Перова сын дьячка произведенный в коллежские регистраторы примеряет вицмундир. Нынешний год этот живописец получил вторую золотую медаль. Однако всех картин не пересчитаешь. Мало ли было хороших? Довольно и этих. Мне кажется что нынешний год выставка была лучше прошлогодней."
"4","1860-09-26","26 сентября. Понедельник. Странно право какое сильное влияние имеет погода на здоровье человека. Когда погода хороша самому как то весело и легко, все идет так приятно. Но когда либо пасмурно, грязь, снег как будто нехотя понемногу валится с неба, когда все бегут с улицы домой, тогда то вот самое главное состояние. Ничего не хочется делать, все не по-твоему, все гадко. Вот сегодня самый гадкий день. Все решительно так, как я сейчас описал. Сегодня я отнес на почту письмо к папе, в котором мама извещает его о воровстве. Из почтового отделения я прямо отправился к обедне. От обедни домой пить кофе. Вот и все, что я сделал сегодня. Есть ли из этого что-нибудь путное? То, что к обедне ходил. Как бы не так. Правда, если бы за обедней молился с усердием, это было бы хорошее дело, а если я глядел по сторонам. Это один только грех. А сколько бы добра мог я сделать в это время, сколько приобрести полезного и для себя и для других? Все прошло даром, все пропало. Есть же право такие счастливые люди, которые каждую минуту занятости, каждую минуту трудятся на пользу ближних. Ведь и я мог бы быть таким? Да, мог бы, если б захотел. Да у меня не станет воли, не станет ума, терпения, веры, если б я и захотел то быть таким. Что если у меня вся жизнь пройдет так, что я не сделаю ничего полезного ни для себя, ни для других. Ну да лучше замолчать. А то чем больше думаешь, тем чернее мысли приходят. Наконец придешь в такой азарт, что и тетрадь пожалуй разорвать. А лучшее средство против этого молитва. Молился бы я, много б молился, если б только было место, куда бы я мог укрыться один, чтобы никто не видал, не слыхал меня. А этого никогда не будет. Вчера Маша привела какую-то несчастную голодающую собаку с бельмами на обоих глазах. Одним глазом она совсем не видит, а другим немного только. Ну, конечно ее накормили сейчас, и оставили ночевать, а сегодня утром начали думать как бы ее прогнать. Выпустили на двор. Собака конечно не дура, где ее накормили, уж оттуда она не уйдет. Послали Катерину, чтоб ее прогнала. Та давай ее колотить. Собака пищит на весь двор и наконец убежала за ворота. Вот не знаю, что дальше будет. Удивляюсь я этим людям, которые не будучи в состоянии кормить собаку, имея на руках двух собак, зовут еще третью, для того только, чтоб ее накормить, оставить ночевать, а на другое утро приняться гнать, да еще колотить. Уж тут не пользу сделаешь собаке, а вред. По-моему, уж если брать собаку, так взять с тем, чтобы она и осталась жить. А то что за расчет, призвать собаку, накормить, а потом гнать и что та нейдет, так колотить ее. Вон Азорка. Тоже призвала его Маша, а не кто другой. Он у нас и жил и хворал и деньги тратили на его леченье а потом сам же он убежал и все пропало даром. Полкан опять, тоже Маша его привела и тоже он убежал. Уж кажется должна бы быть приучена, нет так призвала третью собаку, да еще умнее сделала, начала сама же ее гнать. Да и хоть бы приводила хорошеньких, а то все уроды какие-то являются. Все с бельмами, слепые, кривоногие, дураки. Ну да довольно уже. А то тошно становится, когда вспомнишь глаза с бельмами. 

Вечером того же дня. Мама сейчас столько кончили варить варенье. Я им помогал и так наелся яблок и варенья, что даже тошно стало. Не знаю, мне что-то сегодня так скучно и от чего это? Вероятно я завтра единицу получу, от кого-нибудь. Собаки все еще нету. Дай Бог, чтобы не пришла. Скорей бы папа приезжали да укротили эту свинью кухарку Таубе. Она не давала дворнику запирать чердак, и говорила, что Таубе сам хочет купить замок и держать его у себя. Глупо право. Лень писать что-то. Тут говорят. Катерина стелет постели. Соня плачет. Костя лежит на диване. Никто ничего не делает и самому лень становится. Ну да пора спать. Скоро постели готовы будут, а завтра вставать рано."
"5","1860-09-27","27 сентября. Вторник. Мои предчувствия все врали. Сегодняшний день у меня прошел как нельзя лучше. Если б все дни так проходили так у меня б отметки вышли отличные. Как только я пришел в гимназию сейчас принялся за Греческое потому, что не знал ни старого, ни нового. Кое-как удалось выучиться с грехом пополам. Только я сел на скамейку входит Кедров. Одним словом, он меня вызвал и я ему ответил довольно хорошо. Странно, когда я ему приготовлюсь сейчас собьюсь, а если не приготовлюсь, отвечу хорошо. Вторые часы был Лапшин, который весь класс рассказывал про Овидия. Потом Миквиц. Вот тут-то уже я боялся порядком, однако счастливо прошло, т.е. меня не вызвал. Четвертые часы Красов  вон вызвал только я и Широв да кто не был. До звонка оставалось четверть часа, когда Красов вызвал Филиппова писать хронологию, но каким-то образом спасся я. В четверг он уже меня непременно вызовет. В последние часы был Батюшка. Он вызвал Игнатьева: Отчего же бы не Чемезова? спросил я, обращаясь к Филиппову. Только, что я сказал сейчас меня вызвал Батюшка. Ему я ответил отлично и получил, я думаю, пять. Сегодня утром приходила Таубина кухарка-воровка спрашивать ключ от замка в чулану и потом не заперши чулана, не потрудилась даже принести замка назад, а оставил его там, так что дворник должен был ходить и запирать за ней чулан. Замок от нашего чулана, который исчез во время кражи найден дворником на чердаке медника около порога дверей. Нельзя впрочем подозревать кухарку медника потому что между порогом и дверью есть щель, в которую очень легко всунуть небольшой замок да еще и без ключа. А как отперла кухарка Таубина замки от нашего чердака очень легко объяснить: еще прежде кражи она отдавала дворнику замок свой починить и ключ от нашего замка подходил к замку кухарки, так что оба замка были равны и могли быть отперты одним и тем же ключом т.е. тем ключом нашим или ключом кухаркиным. Папа сегодня не приехали. Должно быть завтра приедут. У нас все благополучно. Никого сегодня не было. Котенок все ворует. Ничего нельзя оставить. Сейчас вынюхает все и если можно так и украдет. Черкесы сегодня скакали перед окном. Они славно ездят на лошадях и беспрестанно вертятся. Какой-то кусок бумаги лежал на земле. Они начали его подымать. Народу по обыкновению собралась целая толпа. Сначала они не могли поднять бумажки. Потом одному удалось. Он совсем перегнулся уронил в грязь шапку, выпачкал рукав, а все-таки поднял. Поскакали немного, да и уехали. Сейчас только кончили чесать собак. Право приятное занятие. Что-то Леонтьевы из Царского села долго не едут. Да и лучше. А то у меня мундира нет. Они приедут, ходить надо будет, а в чем буду ходить? Не в летнем же платье ходить то. Право лучше что не едут. Теперь хоть спокойно, а потом начнутся хождения каждое Воскресенье. Какая бы погода не была тащись как будто на должность. А небо какое славное! Сейчас только ходил его смотреть в зало. Все оно темное, только звезды светятся в вышине как множество кошачьих глаз. На улице темно хоть глаз выколи. Ничего не видно кроме огромных, черных окон кое-где освещенных свечками. Все тихо. Изредка услышишь как проедет извозчик, да пройдет кто-нибудь, стуча каблуками по серой мостовой или напевая какой-нибудь романс так, ради развлечения. Соня и Костя ушли спать, а я все пишу и не напишусь. Завтра я Бушу кое-как знаю. Как-то пройдет. Не одному Бушу, а еще Стоюнину и Лебединскому на да этих-то я не боюсь много."
"6","1860-09-28","28 сентября. Среда. Папа приехал из Грузино и говорят, что они ничего не настреляли. Поймали только небольших окунишек в саду, а в Волхове одного только рака. Ему сейчас рассказали о краже и мне обещали завтра разделаться с Таубе. Вот я жалел, что Леонтьевы долго не будут: сегодня приезжала к нам Настасья Петровна и говорила, что Леонтьевы приехали в Петербург и надеяться, что я не забуду и буду ходить к ним. Как бы не так! Не скоро то я к ним соберусь, не имея никакого платья. В гимназии все прошло счастливо. Никто не вызывал. К завтрому Красов задал очень много. Я ему кое-как выучился, а другим ничего не знаю. Сегодня Стоюнин привел с собою в класс какого-то Лазаревского и начал спрашивать, у кого есть сочинения. Между другими встал Молас. Сочинение у него было: Охота на тетеревей. Молас его списал из одного журнала в котором участвует Лазаревский. Случилось же такое стечение обстоятельств, что Моласа уличили в краже. Впрочем Лазаревский во время класса не сказал ничего, а по выходе объявил Стоюнину, что это сочинение списано. Не знаю, что то завтра будет с Моласом. Говорят, что Стоюнин выходит от нас в Лицей. Не для того ли он приводил Лазаревского чтобы поместить его на свое место? Очень может быть. В гимназии хотят прибавить VIII класс, сократить штат учителей и много чего другого, имея в виду как будто улучшение, а на самом то деле только сокращение расходов. Да и какое тут улучшение. По моему чем больше учителей, тем науки и будут успешнее и. Каждый из них узнает свое дело: один занимается переводами с русского на латинский. другой с латинского на русский. И всякий занимается только именно этим. Может быть это и неверно, но по крайней мере я так думаю. Все спят я только пишу. Уже одиннадцатый час вечера. Третьего дни Катерина стирала всю ночь. Ночью часу в четвертом я проснулся. Все кругом было покрыто мраком и могильная тишина царствовала в комнатах. Папа был в Грузине. Я взглянул на штору. Она одна только слабо просвечивалась. Но я заметил на ней два острых уха. В это время на столе было варенье и я думал, что котенок по своему обыкновению ворует его. Желая наказать вора, я встал и хотел взять его за уши. Вдруг он соскочил на пол и бросился под стол скоростью несвойственною котенку. Я признаться сказать удивился и пошел в кухню. На корзине с бельем у ширм лежал котенок следовательно он не был в комнате. Можно бы было полагать, что это он соскочил со стола и пока я удивлялся убежал в кухню. Но он не мог этого сделать, потому двери в кухню были заперты. И только на столе был никто другой, как крыса. А каково было Катерине простирать всю ночь одной в кухне, тогда как все спят? Я бы на ее месте не утерпел бы и заснул. А она ничего. Привыкла должно быть. Впрочем у ней до сих пор нарывы на пальцах. Жалко мне ее, хоть она мне иногда и досаждает, ну да Бог с ней. Ведь и она человек, а человек часто выходит из границ законов природы."
"7","1860-09-29","29 сентября. Четверг. Сегодняшний день у меня сошел с рук как нельзя лучше. Одному Красову готовился он один и вызвал. Я ему хронологии не знал и боялся, чтобы он не заставил меня написать ее. Однако он и не думал о хронологии, а спросил о времени первой летописи. Я ему привел некоторые доказательства, не все конечно. Потом заставил меня сказать имена всех князей с Рюрика и до покорения Руси монголами, с годами конечно. Я ему сказал хорошо. Очень хорошо, очень хорошо отвечал он, садитесь и поставил что то в списке. Ваш брат по какому факультету спросил он опять. — По математическому — отвечал я. А я думал что он филолог. Который раз уж у меня об нем спрашивает. Причина то, что Костя на экзамене истории отвечал лучше всех. Ну, Красов и думал, что он пойдет по историческому. В перемену Баумиллер пошел смотреть отметки и объявил, что Красов мне поставил пять. Я конечно обрадовался. Мне уж давно этого хотелось. Сегодня между прочим Красов объявил, что к нам будет ходить с ним студент и сначала просто будет смотреть на способ преподавания, а потом будет учить историю, но Красов не будет выходить все таки еще из класса, а смотреть за классом и студентом. Лазаревский со Стоюниным не приходил. Со вчерашнего дня у меня начал что-то живот болеть и не перестает. К завтрому я многим не выучился. Не знаю как то сойдет. Катерина сейчас только воротилась от няньки, к которой ходила, думая продать барежь, но нянька уже купила себе на платье. У нас сколько крыс просто ужас. Я пошел в кухню без свечки, так что было совершенно темно хоть глаз выколи. Сначала все было тихо. Потом заскреблись, загрызли и наконец начали ворочать костью или доскою, не знаю чем, только так сильно, точно человек. Я признаться струсил потому, что думал, что воры тащат. Только вошла Катерина со свечкою все утихло. Утром сегодня была самая неприятная погода. И лицу и сверху было мокро. Особенно в нашем переулке перед мастерской каретной мастера была грязь по колено. Как не старался я минуть эту грязь, но не мог и все таки одною ногою попал в нее и вымазал сапог. Какое бы Стоюнину сочинение написать в котором бы была видна мысль? Хочу я у него просить позволения брать книги из казенной библиотеки. не знаю позволит ли. С которых пор собираюсь я это сделать и не запомню."
"8","1860-10-01","1 октября. Суббота. Третьего дня часу в девятом вечера пришел из квартала помощник надзирателя для исследования. Тотчас призвали дворника, потом кухарку Таубе, за ней женщину из подвала. Всех их спрашивали насчет кражи. На другой день утром т.е. 30 сентября в 8 часу я отправился в гимназию. Лучше погоды нельзя было ожидать для осени. Был небольшой мороз, который высушил хотя немного грязь. Легкий туман стоял неподвижно над домами. Воздух был сух и как то особенно легко дышалось. Солнце сквозь туман казавшееся красным, освещало дома слабым красным цветом. На улице редко кто попадался, особенно по нашему переулку. Когда я подошел к церкви Спаса Преображения вся восточная сторона ее из белой сделалась бледно-розовой, что было очень красиво. Отчего право не красят слабой розовой краской, но впрочем такой краски не подберешь, какую набрасывало солнце. В гимназию меня вызывал Лапшин. а потом Кедров. Красов бывший последние часы в половине класса ушел и ничего не задал. Меня позвали в камеру. Я вышел и увидел Лемониуса, около которого стояли все наши. Он читал замечания педагогического совета, из которых многие были лживые. Например Моласу была замечена его леность к математике, тогда как он имел отметку четыре. Лемониус вскоре ушёл и мы остались одни. Хейер начал скакать через табуретки. Одни читали, другие ходили, третьи курили приткнувшись к трубе, четвертые без всякого занятия лежали на столах смотря ленивыми глазами на все происходившее. Я ходи взад и вперед в ожидании звонка. Наконец он раздался и я опрометью бросился из камеры, где уже мне все успело наскучить. Пришед домой я узнал удивительную для меня новость. Кухарка Таубе оказалась невиновною в краже, а напротив обвинили Катерину в этом, которую я нимало не подозревал. Она, без позволения, отдала чердак наш прачкам и белье вскоре оказалось украденным. Притом она тут много чего наврала, так что она осталась кругом виноватою. Не знаю, что то с ней будет. Она, по крайней мере теперь очень спокойна. Катя, служившая в кухарках у тетеньки Ираиды Николаевны, вышла в прошлое воскресенье замуж. Дяденька говорит, что она была очень авантажна. Дай Бог ей всякого счастья, да вряд ли это будет, потому что она выходит замуж за поденьщика, не имеющего ни гроша денег да притом еще и пьяницу. Что же она надеется от него получить, кроме колотушек? Вечером мы отправились к всенощной. Народу было мало. Странно, что на такой великий праздник как Покров Богородицы не была зажжена люстра. Диакон и Священники были в праздничных одеждах, которые блестели при каждом повороте их. Домой мы пришли в 10м часу. Сегодняшнее утро не обещало ничего хорошего. Небо было серым и небольшой дождь моросил как из сита. Мы пошли к обедне. От обедни отправились в пустой рынок покупать поддонок. Лавки все были заперты. Костя зашел в Москательную лавку и купил серной кислоты для Густавсона, к которому и пошел после завтрака. У нас теперь Елизавета Алексеевна. Она кажется останется ночевать. Завтра мне надо отправляться к Леонтьевым. Гадко право. Если б они дали на извозчика, ну так еще ничего. А не дадут, так я только даром значит прошлялся к ним."
